blank	MT891297.1	MT891294.1	HQ992985.1	MT891306.1	MT891295.1	MT891299.1	MT891302.1	MT891305.1	AY849729.1	HQ992977.1	MT891296.1	MT891301.1	MT891304.1	MT891303.1	AF291584.2	AY849725.1	HQ992973.1	HQ992978.1	AY849717.1	HQ992979.1	MT891310.1	HQ992976.1	AF291581.2	MT891298.1	AY849734.1	HQ992975.1	AF291583.2	AY849715.1	HQ992965.1	HQ992969.1	HQ992974.1	HQ992980.1	HQ992982.1	AY849732.1	HQ992984.1	AY849716.1	HQ992967.1	AF291579.2	AF291585.2	AF291580.2	AY849721.1	HQ992968.1	HQ992972.1	HQ992983.1	MT891308.1	MT891307.1	MT891300.1	MT891309.1	AF291582.2	HQ992970.1	AF291586.2	AY849731.1	AY849733.1	HQ992966.1	HQ992964.1	HQ992971.1	HQ992981.1	AY849718.1	AY849719.1	AY849730.1	AY849727.1
MT891296.1	9	11	10	8	10	9	10	10	14	16	0	12	14	14	16	15	13	11	21	13	13	14	12	4	20	16	15	17	13	11	13	18	17	19	16	21	18	18	12	14	14	18	14	14	16	14	6	17	18	14	19	20	17	17	18	20	20	24	29	25	34
MT891301.1	12	12	10	6	10	5	4	6	12	15	12	0	11	8	18	16	17	15	20	13	13	14	16	14	21	17	17	17	17	15	15	18	17	19	18	22	16	18	16	16	16	18	16	16	18	18	16	19	19	19	17	20	17	21	18	20	20	24	27	27	34
MT891304.1	13	13	13	8	12	8	9	9	14	16	14	11	0	10	20	17	19	17	21	15	15	16	16	16	23	19	17	19	17	17	17	20	19	21	20	24	18	20	16	16	16	20	16	16	20	18	16	20	21	19	17	22	17	21	20	22	22	26	29	27	37
MT891303.1	13	13	12	8	12	7	6	8	14	17	14	8	10	0	20	18	19	17	22	15	15	17	18	16	23	19	20	19	19	17	17	20	19	22	20	24	18	20	18	18	18	21	18	18	20	20	18	19	21	21	19	22	19	23	20	23	23	26	29	29	36
AF291584.2	14	14	15	14	11	15	16	16	10	12	16	18	20	20	0	11	9	12	17	9	9	10	13	14	18	11	10	11	15	10	12	14	11	15	12	16	16	12	11	13	13	12	10	10	10	13	16	13	13	16	17	16	11	17	18	14	18	20	27	21	38
AY849725.1	15	15	18	11	16	12	13	13	8	6	15	16	17	18	11	0	15	14	11	7	7	6	15	15	19	13	11	15	17	12	12	17	15	11	15	18	14	16	13	13	13	14	10	10	14	14	17	16	17	17	15	19	11	19	14	16	14	18	25	21	42
HQ992973.1	14	14	15	13	11	14	15	15	14	16	13	17	19	19	9	15	0	14	21	13	13	14	15	11	19	15	11	13	16	14	16	14	13	19	12	20	17	14	15	17	17	14	12	12	12	14	13	13	15	15	18	16	15	19	19	16	19	24	28	23	38
HQ992978.1	13	13	12	11	14	12	13	13	13	15	11	15	17	17	12	14	14	0	20	12	12	13	3	9	17	11	14	14	4	4	6	17	14	18	15	16	17	15	5	7	7	15	13	13	13	13	11	16	15	13	18	19	14	14	19	18	19	23	28	24	36
AY849717.1	19	19	22	15	20	16	17	17	12	10	21	20	21	22	17	11	21	20	0	13	13	12	21	21	13	17	17	19	23	18	18	21	19	17	21	12	18	20	19	19	19	18	16	16	20	20	23	22	21	23	19	23	17	25	20	20	20	24	29	27	46
HQ992979.1	15	15	16	9	14	10	11	11	6	8	13	13	15	15	9	7	13	12	13	0	5	6	13	13	17	11	11	13	15	10	10	15	13	11	13	16	12	14	11	11	11	14	8	8	12	12	15	14	15	15	13	17	9	17	12	16	14	16	23	19	40
MT891310.1	15	15	16	9	14	10	11	11	6	8	13	13	15	15	9	7	13	12	13	5	0	6	13	13	17	11	11	13	15	10	10	15	13	11	13	16	12	14	11	11	11	14	8	8	12	12	15	14	15	15	13	17	9	17	12	16	14	16	23	19	40
HQ992976.1	16	16	17	10	15	11	12	12	7	7	14	14	16	17	10	6	14	13	12	6	6	0	14	14	18	12	10	14	16	11	11	16	14	10	14	17	13	15	12	12	12	13	9	9	13	13	16	15	16	16	14	18	10	18	13	15	13	17	24	20	41
AF291581.2	14	14	13	12	15	13	14	14	14	16	12	16	16	18	13	15	15	3	21	13	13	14	0	10	18	12	13	15	3	5	7	18	15	19	16	17	18	16	4	6	6	16	12	12	14	12	10	17	16	12	17	20	13	13	20	19	20	24	29	23	37
MT891298.1	11	13	12	10	12	11	12	12	14	16	4	14	16	16	14	15	11	9	21	13	13	14	10	0	18	14	13	15	11	9	11	16	15	19	14	19	16	16	10	12	12	16	12	12	14	12	4	15	16	12	17	18	15	15	18	18	18	24	27	23	36
AY849734.1	20	20	20	17	19	18	19	19	16	18	20	21	23	23	18	19	19	17	13	17	17	18	18	18	0	12	17	19	20	15	19	19	19	23	19	6	16	19	16	20	20	20	18	18	20	16	20	20	19	18	17	21	19	22	20	22	20	28	27	29	44
HQ992975.1	17	17	17	13	16	14	15	15	10	12	16	17	19	19	11	13	15	11	17	11	11	12	12	14	12	0	13	13	14	9	13	15	13	17	15	11	12	14	10	14	14	14	12	12	14	12	16	16	14	14	13	17	13	18	16	16	16	22	23	23	41
AF291583.2	16	16	17	13	13	14	15	15	12	12	15	17	17	20	10	11	11	14	17	11	11	10	13	13	17	13	0	13	15	12	14	13	13	15	11	18	14	14	11	13	13	12	10	10	12	10	13	12	15	13	13	15	11	14	16	14	14	22	25	21	40
AY849715.1	17	17	18	13	14	14	15	15	12	14	17	17	19	19	11	15	13	14	19	13	13	14	15	15	19	13	13	0	16	14	16	9	7	19	9	18	14	6	15	17	17	6	14	14	8	16	17	10	7	17	15	9	15	20	18	8	18	24	25	25	41
HQ992965.1	15	15	14	13	16	14	15	15	16	18	13	17	17	19	15	17	16	4	23	15	15	16	3	11	20	14	15	16	0	7	9	19	16	21	17	19	19	17	6	8	8	17	14	14	15	14	11	18	17	13	18	21	15	11	21	20	21	26	30	25	38
HQ992969.1	15	15	14	11	14	12	13	13	11	13	11	15	17	17	10	12	14	4	18	10	10	11	5	9	15	9	12	14	7	0	6	16	14	16	14	14	15	15	3	7	7	15	11	11	13	11	11	15	15	13	16	18	12	13	17	17	17	21	26	22	38
HQ992974.1	15	15	14	11	16	12	13	13	11	13	13	15	17	17	12	12	16	6	18	10	10	11	7	11	19	13	14	16	9	6	0	18	16	16	16	18	15	17	7	3	3	17	11	11	15	13	13	17	17	15	16	20	12	11	17	20	17	21	26	22	38
HQ992980.1	17	17	18	14	14	15	16	16	14	16	18	18	20	20	14	17	14	17	21	15	15	16	18	16	19	15	13	9	19	16	18	0	9	21	7	20	14	10	17	19	19	10	16	16	10	16	18	8	11	18	15	7	17	20	18	12	18	26	25	27	41
HQ992982.1	17	17	18	13	14	14	15	15	12	14	17	17	19	19	11	15	13	14	19	13	13	14	15	15	19	13	13	7	16	14	16	9	0	19	9	18	14	8	15	17	17	8	14	14	8	16	17	10	9	17	15	11	15	20	16	10	18	24	25	25	41
AY849732.1	21	21	22	15	20	16	17	16	12	12	19	19	21	22	15	11	19	18	17	11	11	10	19	19	23	17	15	19	21	16	16	21	19	0	19	22	18	20	17	17	17	18	14	14	18	18	21	20	21	21	19	23	15	23	18	20	18	22	29	25	46
HQ992984.1	17	17	18	14	14	15	16	16	14	16	16	18	20	20	12	15	12	15	21	13	13	14	16	14	19	15	11	9	17	14	16	7	9	19	0	20	14	10	15	17	17	10	14	14	8	14	16	6	11	16	15	9	15	18	16	12	16	24	25	25	41
AY849716.1	22	22	22	18	21	19	20	20	15	17	21	22	24	24	16	18	20	16	12	16	16	17	17	19	6	11	18	18	19	14	18	20	18	22	20	0	17	18	15	19	19	19	17	17	19	17	21	21	18	19	18	22	18	23	21	21	21	27	28	28	46
HQ992967.1	18	16	17	12	15	13	14	14	11	13	18	16	18	18	16	14	17	17	18	12	12	13	18	16	16	12	14	14	19	15	15	14	14	18	14	17	0	15	16	16	16	15	13	13	15	15	18	15	16	18	6	16	14	18	9	17	9	23	16	24	41
AF291579.2	18	18	19	14	15	15	16	16	13	15	18	18	20	20	12	16	14	15	20	14	14	15	16	16	19	14	14	6	17	15	17	10	8	20	10	18	15	0	16	18	18	7	15	15	9	17	18	11	6	18	16	10	16	21	19	9	19	25	26	26	42
AF291585.2	16	16	15	12	15	13	14	14	12	14	12	16	16	18	11	13	15	5	19	11	11	12	4	10	16	10	11	15	6	3	7	17	15	17	15	15	16	16	0	6	6	16	10	10	14	10	10	16	16	12	15	19	11	12	18	18	18	22	27	21	39
AF291580.2	16	16	15	12	17	13	14	14	12	14	14	16	16	18	13	13	17	7	19	11	11	12	6	12	20	14	13	17	8	7	3	19	17	17	17	19	16	18	6	0	2	18	10	10	16	12	12	18	18	14	15	21	11	10	18	21	18	22	27	21	39
AY849721.1	16	16	15	12	17	13	14	14	12	14	14	16	16	18	13	13	17	7	19	11	11	12	6	12	20	14	13	17	8	7	3	19	17	17	17	19	16	18	6	2	0	18	10	10	16	12	12	18	18	14	15	21	11	10	18	21	18	22	27	21	39
HQ992968.1	18	18	19	14	15	15	16	16	13	13	18	18	20	21	12	14	14	15	18	14	14	13	16	16	20	14	12	6	17	15	17	10	8	18	10	19	15	7	16	18	18	0	15	15	9	17	18	11	8	18	16	10	16	21	19	7	17	25	26	26	42
HQ992972.1	18	18	19	12	17	13	14	14	9	11	14	16	16	18	10	10	12	13	16	8	8	9	12	12	18	12	10	14	14	11	11	16	14	14	14	17	13	15	10	10	10	15	0	5	13	11	12	15	16	14	12	18	8	16	15	17	15	19	24	16	43
HQ992983.1	18	18	19	12	17	13	14	14	9	11	14	16	16	18	10	10	12	13	16	8	8	9	12	12	18	12	10	14	14	11	11	16	14	14	14	17	13	15	10	10	10	15	5	0	13	11	12	15	16	14	12	18	8	16	15	17	15	19	24	16	43
MT891308.1	18	18	19	14	15	15	16	16	13	15	16	18	20	20	10	14	12	13	20	12	12	13	14	14	20	14	12	8	15	13	15	10	8	18	8	19	15	9	14	16	16	9	13	13	0	15	16	9	10	16	16	12	14	19	17	11	17	23	26	24	42
MT891307.1	15	17	18	14	16	15	16	16	13	15	14	18	18	20	13	14	14	13	20	12	12	13	12	12	16	12	10	16	14	11	13	16	16	18	14	17	15	17	10	12	12	17	11	11	15	0	12	15	18	8	14	18	12	14	17	19	17	23	26	22	42
MT891300.1	13	15	14	12	14	13	14	14	16	18	6	16	16	18	16	17	13	11	23	15	15	16	10	4	20	16	13	17	11	11	13	18	17	21	16	21	18	18	10	12	12	18	12	12	16	12	0	17	18	12	17	20	15	15	20	20	20	26	29	23	38
MT891309.1	18	18	19	15	15	16	17	17	15	17	17	19	20	19	13	16	13	16	22	14	14	15	17	15	20	16	12	10	18	15	17	8	10	20	6	21	15	11	16	18	18	11	15	15	9	15	17	0	12	17	16	10	16	19	17	13	17	25	26	26	42
AF291582.2	19	19	19	15	16	16	17	17	14	16	18	19	21	21	13	17	15	15	21	15	15	16	16	16	19	14	15	7	17	15	17	11	9	21	11	18	16	6	16	18	18	8	16	16	10	18	18	12	0	18	17	11	17	21	20	10	20	26	27	27	42
HQ992970.1	16	18	18	15	17	16	17	17	16	18	14	19	19	21	16	17	15	13	23	15	15	16	12	12	18	14	13	17	13	13	15	18	17	21	16	19	18	18	12	14	14	18	14	14	16	8	12	17	18	0	17	21	15	17	20	20	20	26	29	25	42
AF291586.2	19	17	18	13	16	14	15	15	12	14	19	17	17	19	17	15	18	18	19	13	13	14	17	17	17	13	13	15	18	16	16	15	15	19	15	18	6	16	15	15	15	16	12	12	16	14	17	16	17	17	0	17	13	17	10	18	10	24	17	23	42
AY849731.1	19	19	20	16	16	17	18	18	16	18	20	20	22	22	16	19	16	19	23	17	17	18	20	18	21	17	15	9	21	18	20	7	11	23	9	22	16	10	19	21	21	10	18	18	12	18	20	10	11	21	17	0	19	22	20	12	20	28	27	29	43
AY849733.1	19	19	20	13	18	14	15	15	10	12	17	17	17	19	11	11	15	14	17	9	9	10	13	15	19	13	11	15	15	12	12	17	15	15	15	18	14	16	11	11	11	16	8	8	14	12	15	16	17	15	13	19	0	17	16	18	16	20	25	19	44
HQ992966.1	18	16	15	17	16	18	19	19	18	20	17	21	21	23	17	19	19	14	25	17	17	18	13	15	22	18	14	20	11	13	11	20	20	23	18	23	18	21	12	10	10	21	16	16	19	14	15	19	21	17	17	22	17	0	20	24	20	28	29	27	36
HQ992964.1	20	18	19	14	17	15	16	16	13	15	18	18	20	20	18	14	19	19	20	12	12	13	20	18	20	16	16	18	21	17	17	18	16	18	16	21	9	19	18	18	18	19	15	15	17	17	20	17	20	20	10	20	16	20	0	21	9	23	20	26	43
HQ992971.1	21	21	22	16	17	17	18	18	15	15	20	20	22	23	14	16	16	18	20	16	16	15	19	18	22	16	14	8	20	17	20	12	10	20	12	21	17	9	18	21	21	7	17	17	11	19	20	13	10	20	18	12	18	24	21	0	19	27	28	28	45
HQ992981.1	22	20	21	16	19	17	18	18	15	15	20	20	22	23	18	14	19	19	20	14	14	13	20	18	20	16	14	18	21	17	17	18	18	18	16	21	9	19	18	18	18	17	15	15	17	17	20	17	20	20	10	20	16	20	9	19	0	25	20	26	45
AY849718.1	26	26	27	20	25	21	22	22	17	19	24	24	26	26	20	18	24	23	24	16	16	17	24	24	28	22	22	24	26	21	21	26	24	22	24	27	23	25	22	22	22	25	19	19	23	23	26	25	26	26	24	28	20	28	23	27	25	0	23	19	40
AY849719.1	29	27	28	23	26	24	25	25	22	24	29	27	29	29	27	25	28	28	29	23	23	24	29	27	27	23	25	25	30	26	26	25	25	29	25	28	16	26	27	27	27	26	24	24	26	26	29	26	27	29	17	27	25	29	20	28	20	23	0	24	41
AY849730.1	29	29	30	23	28	24	25	25	20	22	25	27	27	29	21	21	23	24	27	19	19	20	23	23	29	23	21	25	25	22	22	27	25	25	25	28	24	26	21	21	21	26	16	16	24	22	23	26	27	25	23	29	19	27	26	28	26	19	24	0	43
AY849727.1	31	29	26	32	29	31	32	32	39	41	34	34	37	36	38	42	38	36	46	40	40	41	37	36	44	41	40	41	38	38	38	41	41	46	41	46	41	42	39	39	39	42	43	43	42	42	38	42	42	42	42	43	44	36	43	45	45	40	41	43	0
